Montant,Classe_reelle,Probabilite_fraude,Prediction,Statut
-0.2612734105062506,0,0.0,0,Vrai negatif
-0.3058520715686588,0,0.0,0,Vrai negatif
-0.04909497619396335,0,0.02,0,Vrai negatif
-0.34927128763482496,0,0.0,0,Vrai negatif
-0.3472322636759166,0,0.0,0,Vrai negatif
-0.3172865980833213,0,0.0,0,Vrai negatif
-0.14532891088204988,0,0.01,0,Vrai negatif
-0.33887626353058625,0,0.0,0,Vrai negatif
-0.24160282643207584,0,0.0,0,Vrai negatif
0.027588317005766652,0,0.0,0,Vrai negatif
4.534351017398448,0,0.0,0,Vrai negatif
0.85347298208753,0,0.02,0,Vrai negatif
-0.12861691059138924,0,0.0,0,Vrai negatif
-0.3349981199224665,0,0.0,0,Vrai negatif
-0.3460728186796746,0,0.0,0,Vrai negatif
-0.34531318230282637,0,0.0,0,Vrai negatif
0.7022653622327965,0,0.0,0,Vrai negatif
-0.3372370481910717,0,0.0,0,Vrai negatif
-0.07736144558510466,0,0.0,0,Vrai negatif
-0.3492313067728856,0,0.0,0,Vrai negatif
0.39621186408684606,0,0.0,0,Vrai negatif
-0.0733633593911667,0,0.0,0,Vrai negatif
-0.30725140173653703,0,0.0,0,Vrai negatif
-0.34967109625421877,0,0.0,0,Vrai negatif
-0.2932581000577542,0,0.0,0,Vrai negatif
-0.34967109625421877,0,0.0,0,Vrai negatif
-0.3492313067728856,0,0.0,0,Vrai negatif
-0.30529233950150747,0,0.0,0,Vrai negatif
-0.078241024547771,0,0.0,0,Vrai negatif
-0.25327723811837466,0,0.0,0,Vrai negatif
-0.3492313067728856,0,0.0,0,Vrai negatif
-0.3472322636759166,0,0.0,0,Vrai negatif
-0.313248531027444,0,0.0,0,Vrai negatif
-0.34927128763482496,0,0.0,0,Vrai negatif
-0.33243934475834613,0,0.0,0,Vrai negatif
-0.1418105950313845,0,0.0,0,Vrai negatif
0.020151876685042057,0,0.0,0,Vrai negatif
-0.12493867129296632,0,0.0,0,Vrai negatif
-0.18183143783270342,0,0.0,0,Vrai negatif
-0.29997488486357,0,0.0,0,Vrai negatif
-0.10862647962169947,0,0.0,0,Vrai negatif
-0.23456619473074505,0,0.0,0,Vrai negatif
-0.34611279954161395,0,0.0,0,Vrai negatif
-0.2727479178828525,0,0.0,0,Vrai negatif
0.16252372605117263,0,0.0,0,Vrai negatif
-0.3384364740492531,0,0.0,0,Vrai negatif
-0.2942576216062387,0,0.0,0,Vrai negatif
0.2516410673140496,0,0.02,0,Vrai negatif
-0.2336866157680787,0,0.0,0,Vrai negatif
2.040624715653527,0,0.01,0,Vrai negatif
-0.186948988160944,0,0.0,0,Vrai negatif
0.1665218122451106,0,0.0,0,Vrai negatif
-0.1533250832699258,0,0.0,0,Vrai negatif
0.41352357730659745,0,0.0,0,Vrai negatif
-0.03250291848912081,0,0.0,0,Vrai negatif
-0.1533250832699258,0,0.0,0,Vrai negatif
-0.29829568866211603,0,0.0,0,Vrai negatif
-0.3492313067728856,0,0.0,0,Vrai negatif
5.052742873304443,0,0.0,0,Vrai negatif
-0.22129254856687103,0,0.02,0,Vrai negatif
-0.34475345023567505,0,0.0,0,Vrai negatif
-0.18119174404167335,0,0.0,0,Vrai negatif
